company,ticker
Restaraunt Brands international,QSR
Ferarri,RACE
Ralph Lauren,RL
Canada Goose,GOOS
Marriot,MAR
McDonalds,MCD
YUM Brands,YUM
Tiffany and Co.,TIF
PVH,PVH
Movado,MOV
Estee Lauder,EL
Prada,PRDSY
Porsche,POAHY
VFCorp,VFC
Nordstrom,JWN
Birks Group,BGI
Macy's,M
Nike,NKE
Gap,GPS
Hanes,HBI
Under Armour,UA
Hugo Boss,BOSS
Adidas,ADS
Lulu Lemon,LULU
Foot Locker,FL
Skechers,SKX
Urban Outfitters ,URBN
American Eagle,AEO
Dicks Sporting Goods,DKS
Steve Madden,SHOO
Ambercrombie and Fitch,ANF
JCPenny's,JCP
Vera Bradley,VRA
Fossil ,FOSL
TJX,TJX
L Brands,LB
VipShop Holdings,VIPS
Carter's,CRI
Columiba Sportswear,COLM
Deckers Outdoors,DECK
Wolverine,WWW
Dillard's,DDS
Oxford Industries,OXM
Guess,GES
Caleres,CAL
Chico's,CHS
Buckle,BKE
Genesco,GCO
Express,EXPR
Fransesca's,FRAN
Zumiez,ZUMZ
Signet Jewlers ,SIG
Swatch,SWGAY
Ford Motor Company,F
General Motors,GM
Chipotle,CMG
Audi,AUDVF
Toyota,TM
Apple,AAPL
Honda,HMC
Amazon,AMZN
