,ticker,month,mean_transactions,median_transactions,sd_transactions,mean_low,median_low,sd_low,mean_high,median_high,sd_high,mean_close,median_close,sd_close
0,QSR,January,7390280,7430500,1166824.939,60.37600021,60.25,0.907117918,63.04199982,62.88999939,1.068856829,61.40000076,61.58000183,1.424709764
1,QSR,February,12158350,11658850,2962778.939,56.80500031,56.96500015,1.148095958,60.41999912,60.42499924,0.796585604,58.12249947,58.26000023,1.181321165
2,QSR,March,6345400,6413750,430900.8993,56.45750046,56.75500107,0.815119564,59.27250004,59.41500092,0.585250666,57.61249924,57.3049984,1.078295798
3,QSR,April,10690120,8666800,3840365.025,54.18799972,53.56999969,1.009285,56.63600006,56.95999908,1.24961785,54.86999969,54.65999985,0.617511007
4,QSR,May,7888075,7917900,264905.1941,55.66375065,55.6949997,1.019248125,58.24200058,58.06000138,1.02390977,57.56499958,57.63500023,1.305459631
5,QSR,June,8000500,7788300,1002805.53,58.7887497,59.06749916,0.708716763,61.0824995,61.125,0.373655446,59.98250008,60.01499939,0.601388436
6,QSR,July,7197840,6260800,2307616.195,61.70399933,61.70999908,1.408127458,64.10599899,64.52999878,1.437728606,63.35399933,63.47999954,1.370468254
7,QSR,August,7798575,7679450,1051775.39,59.49749947,59.51499939,1.921163624,61.9800005,62.38999939,1.63859668,60.00500107,60.27000046,1.904527098
8,QSR,September,7592950,7901000,1467032.475,57.0199995,57.09499931,1.198227699,59.45875073,59.47500038,1.360396597,58.26999951,58.64500046,1.078309265
9,QSR,October,9056080,8390300,2347801.127,55.38799972,56.06000137,1.744264599,58.28199997,58.15999985,1.303248965,56.85800018,57.38999939,1.52883429
10,QSR,November,6376075,6599450,755482.1983,54.14750099,54.40500069,1.339241608,57.15374947,56.96750069,1.139974459,56.48500156,56.1400013,1.2118066
11,QSR,December,5723760,6279500,2551877.851,52.03800049,51.68000031,1.513834687,54.7800003,53.88000107,2.402241587,52.78799896,52.29999924,1.082134426
12,RACE,January,2747680,2128300,1536977.307,113.8460007,117.4800034,5.466499488,120.9940002,121.1800003,5.69286688,119.6059982,119.9599991,4.852404792
13,RACE,February,3203750,2797850,1502295.667,120.3927498,119.0949974,3.435020022,130.0549965,130.4199982,1.12919407,125.1550007,125.3349991,4.490861712
14,RACE,March,2158775,2297350,388111.9579,119.3950005,118.670002,1.48110495,124.5287494,124.8675003,1.040301924,121.3899994,121.2299995,2.295746403
15,RACE,April,2144240,1659300,900536.3038,120.1919998,121.1100006,1.956031879,126.2983993,123.6119995,5.686079031,125.0360001,122.4300003,6.182756247
16,RACE,May,1524450,1424800,513564.2195,130.7549972,131.0999985,3.285859212,136.6525002,135.6200028,2.96075415,133.1674996,132.7149963,1.781662719
17,RACE,June,2139100,2137550,474163.0679,135.1212464,135.1274948,3.330785711,144.1525002,143.9300003,4.967235933,139.9399948,137.9249954,5.420862105
18,RACE,July,5328200,1570100,5333285.758,130.8039993,132.6600037,7.818883498,139.4179993,137,4.005768287,134.8619995,135.3600006,6.264503665
19,RACE,August,3515550,3539450,137363.5778,121.8312493,120.5924988,3.253492282,127.9150029,127.3850022,4.457749289,125.0099983,124.1599998,4.47702288
20,RACE,September,3337025,3015650,800643.5611,129.8475037,128.840004,4.584270689,136.4799996,136.6699982,4.61365005,133.3450012,134.5250015,4.27878867
21,RACE,October,4126840,4490000,942926.9422,117.0326004,113.9300003,7.236664003,126.2877991,123.0599976,7.91427369,120.1580002,116.5100021,6.187623575
22,RACE,November,3185225,2941500,1468414.462,105.6077518,105.6150017,2.32940512,113.1175003,111.8400002,3.477227476,109.2675,109.8349991,1.55899391
23,RACE,December,1863300,1966500,892726.415,98.94860077,97.80000305,3.510903003,105.2230011,106.2900009,4.830748818,100.4660004,99.44000244,2.482702363
24,RL,January,5611840,4742000,1603677.567,105.2779999,103.7300034,4.147411249,112.5639999,112.8899994,5.72835108,110.5240006,109.8000031,5.039067009
25,RL,February,4292625,3711750,1669801.05,102.2024994,102.5299988,1.304003438,110.0074997,110.3149986,1.631967691,106.0124988,106.0149994,1.807075312
26,RL,March,3276850,3261250,433271.3728,106.2350006,106.2299996,1.334270452,110.9225006,111.0849991,1.495816864,108.4675007,108.1150016,2.258335236
27,RL,April,4012660,4016700,357501.0691,106.776001,106.9400024,1.571147967,114.1720001,114.6800003,1.716805245,109.4059997,111.0400009,2.36329081
28,RL,May,6725475,5214600,3301637.12,115.4275017,112.0499993,11.2227044,125.5474987,126.5949974,12.84827986,124.9099998,126.3800011,12.88008249
29,RL,June,5988450,6157000,682857.7762,132.1250038,132.7000046,4.78279028,140.5424996,142.9799958,6.137735438,134.4799995,134.9850006,6.744653972
30,RL,July,4685500,4153000,1829215.343,127.4720001,127.2699966,3.012127179,136.5339966,138.1699982,7.265679286,131.3880005,130.3600006,4.217863842
31,RL,August,4374100,4401450,390427.1571,131.7724991,131.1549988,2.290961339,139.1925011,138.6450043,1.452742073,135.3250008,135.8950043,1.527752804
32,RL,September,3974775,4040100,428497.8843,130.5599976,130.2900009,1.107654871,136.7425003,136.8250046,2.211430532,133.9750023,134.1550064,3.16204792
33,RL,October,6328280,6341700,661959.1601,123.0100006,123.8199997,3.841550811,132.5740021,129.8000031,4.051108184,126.5220001,126.4599991,4.292907207
34,RL,November,7904425,6667350,3340901.688,113.8575001,113.4449997,4.716106095,124.8549976,122.2899971,8.063957211,116.8775005,116.0900001,4.577478998
35,RL,December,4689540,5945100,2329566.151,99.97599946,101.0500031,3.11810015,107.5300003,104.4199982,4.483107692,101.8339996,101.7799988,2.477221706
36,GOOS,January,5030880,4533900,1145229.89,32.08799973,32.04999924,0.9104154,34.76759949,33.95999908,1.403557396,33.95600052,33.43000031,1.452261426
37,GOOS,February,8134650,5128750,6799764.347,30.32274962,30.43999958,1.275718364,35.33749962,34.69999886,1.770499709,32.32749939,32.42499924,1.280222392
38,GOOS,March,2844350,2473600,838472.8395,32.52750015,32.55000114,0.676992383,34.97500038,35.12000084,1.315019032,33.64999962,33.68999863,0.822496962
39,GOOS,April,2661140,2634100,679273.5755,33.94619904,33.72999954,1.098051641,36.67400055,37.36999893,1.093774367,35.66800079,36.5,1.336135164
40,GOOS,May,3247425,3298950,667988.3209,37.74249935,37.51999855,1.152722345,41.03674984,41.34499931,1.6370948,40.07000065,40.35000038,2.012920855
41,GOOS,June,13566425,13907700,7271188.539,49.64999962,49.53499985,6.905682382,58.94749928,61.11999894,8.751144019,55.17749977,58.22999954,7.005031818
42,GOOS,July,4130460,4195100,543969.6925,57.69799957,58.52999878,1.668141108,62.29440002,61.97000122,2.094528227,59.76200027,59.61000061,1.779589024
43,GOOS,August,5718000,5521650,2323079.974,52.58500004,51.98999977,2.643685979,58.20500088,58.29500008,2.424525666,55.81999969,55.78000069,3.579224857
44,GOOS,September,4253225,3314300,1795779.409,55.66250038,55.66500092,0.793517221,61.86749935,60.75999832,2.29642528,58.97000027,57.71999931,3.313895155
45,GOOS,October,5600580,5763100,1447967.517,48.98799972,47.31999969,3.08956558,57.56600036,57.47999954,4.932382061,52.59199905,50.43999863,4.257109049
46,GOOS,November,11252725,10057950,5359150.295,59.44375038,59.51550103,2.727585401,68.71749878,70.40999985,4.154277069,66.35750103,67.6949997,3.807738049
47,GOOS,December,9753980,8437600,3243061.11,47.0159996,43.04000092,6.764077915,54.30000076,52.84000015,9.779254428,47.66000061,43.72000122,6.568120102
48,MAR,January,10393300,10544000,488339.3533,137.5400024,138.3500061,3.826813642,143.5679993,144.0700073,4.405647147,141.3119995,141.1699982,4.282877579
49,MAR,February,12568300,12708150,2257927.013,135.3825035,136.2000046,2.755971502,144.0924988,144.0999985,1.0739942,139.1349983,139.0400009,2.115805331
50,MAR,March,9392225,8971250,1451525.96,135.3174973,134.0199967,3.153009782,142.3175011,142.4950028,1.942232469,138.5224953,138.5199967,3.818169496
51,MAR,April,10808400,9793300,3591013.352,131.2839996,130.7200012,2.241504201,138.1019989,139.1900024,2.123089097,134.5479981,135.8500061,2.959605713
52,MAR,May,8841800,7727700,2917097.348,135.7000008,135.5049973,1.578240269,140.1375008,139.9749985,0.945286506,138.6625023,138.4300003,0.697081666
53,MAR,June,8591525,8160450,1179518.631,132.8325005,134.8499985,5.350306107,138.380001,139.6699982,3.872613152,134.1050015,135.4950028,4.97899035
54,MAR,July,8908160,8815700,1816181.998,127.0099991,127.2099991,1.901230363,131.2979996,131.4299927,2.39227277,129.6920014,128.5500031,2.034819746
55,MAR,August,11274700,10628800,1806259.742,121.1699982,120.8949966,1.722280712,126.6974983,126.7000007,2.126949988,123.397501,123.4799996,2.247724222
56,MAR,September,11156425,11152250,1148597.959,126.9249992,127.4449997,2.182642572,131.1100006,132.1100006,2.743592165,129.9924965,130.6649933,2.037624143
57,MAR,October,12319400,11937400,2755640.204,112.9020004,112.0100021,4.35661148,122.0860016,121.6900024,6.17713373,116.9279999,117.4899979,3.957171077
58,MAR,November,11207775,11891650,4137947.166,113.3400002,113.2599983,0.93362305,120.6350002,120.4249992,1.620100646,116.9950008,117.1500015,1.291560188
59,MAR,December,9442680,11325000,4639786.077,105.6740021,107.3700027,3.685325032,111.9719986,109.75,4.366560762,107.5179993,107.6600037,2.706366652
